longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-119.55,36.61,14,3004,793,3535,735,1.586,56900,INLAND
-122.31,37.93,36,2403,408,917,404,5.0399,253400,NEAR BAY
-120.38,36.75,25,1689,495,1745,457,1.9056,60000,INLAND
-122.06,37.96,10,7136,1691,2959,1507,3.9816,182000,NEAR BAY
-121.77,37.68,36,1687,372,950,372,3.5532,158400,INLAND
-121.52,39.48,21,2628,494,1364,468,2.0455,59400,INLAND
-120.76,38.73,17,512,129,314,140,1.5625,108300,INLAND
-122.07,37.89,38,2139,343,809,340,5.5636,268800,NEAR BAY
-122.18,37.81,37,1643,262,620,266,5.4446,336700,NEAR BAY
-122.26,37.87,52,2773,998,1721,949,1.1859,241700,NEAR BAY
-121.39,39.61,22,2828,610,986,391,2.8871,94700,INLAND
-121.96,37.81,12,6488,778,2404,765,8.3188,403400,<1H OCEAN
-122.28,37.86,52,938,195,393,189,3.8594,196400,NEAR BAY
-122.29,37.88,52,1650,395,841,380,3.556,179300,NEAR BAY
-119.55,36.72,6,1186,234,1135,218,2.1515,63900,INLAND
-121.99,37.96,17,2756,423,1228,426,5.5872,200600,INLAND
-122.29,37.86,50,2485,607,1354,563,1.9483,150500,NEAR BAY
-122.11,37.64,8,3592,849,1907,746,3.6708,197900,NEAR BAY
-122.23,38.05,52,1736,358,638,297,2.5517,147100,NEAR BAY
-122.36,38.03,32,2159,393,981,369,4.3173,175400,NEAR BAY
-122.14,37.68,35,2976,518,1424,538,4.267,210300,NEAR BAY
-119.69,36.77,22,2456,496,1720,417,2.6875,60600,INLAND
-122.23,37.79,40,930,199,564,184,1.3281,113300,NEAR BAY
-122.05,37.55,23,4247,835,2357,823,5.1321,211300,NEAR BAY
-122.25,37.89,42,2863,460,1031,448,6.7138,368600,NEAR BAY
-119.81,36.76,52,1792,352,1049,357,2.4375,57100,INLAND
-122.35,37.97,31,2892,685,2104,641,3.2188,113800,NEAR BAY
-122.04,37.99,36,2765,495,1478,441,4.125,136200,NEAR BAY
-119.85,36.76,10,2067,450,845,354,1.8214,80100,INLAND
-120.76,38.6,14,2925,625,1226,437,2.5865,133800,INLAND
-122.07,37.71,40,1808,302,746,270,5.3015,254900,NEAR BAY
-121.94,37.71,15,6473,1027,2484,970,5.0143,271100,<1H OCEAN
-121.93,37.78,2,227,35,114,49,3.1591,434700,<1H OCEAN
-122.15,37.72,31,1616,372,739,379,2.9097,210900,NEAR BAY
-122.28,37.77,52,1468,363,870,347,2.9688,220800,NEAR BAY
-122.18,37.79,41,1411,233,626,214,7.0875,240700,NEAR BAY
-121.81,38.01,52,1124,245,528,226,2.2639,128500,INLAND
-120.93,38.5,15,1248,234,529,216,3.3393,107200,INLAND
-119.75,36.74,39,1740,351,1098,347,1.8958,51300,INLAND
-119.79,36.79,26,1700,423,909,386,2.256,64500,INLAND
-120.86,38.75,15,1533,300,674,287,2.5625,146100,INLAND
-122.08,37.65,35,1813,393,1093,374,3.6818,165400,NEAR BAY
-122.24,37.77,52,1153,235,481,223,2.6411,241000,NEAR BAY
-122.11,37.99,10,2864,514,1300,507,4.3875,287700,NEAR BAY
-119.77,36.86,7,4139,544,1843,562,8.2737,193500,INLAND
-120.46,38.15,16,4221,781,1516,697,2.3816,116000,INLAND
-121.84,39.72,52,1457,389,802,342,0.9566,69000,INLAND
-121.56,39.51,47,1064,245,603,190,1.3654,57900,INLAND
-122.12,38.01,50,1300,263,691,239,3.9519,126500,NEAR BAY
-122.3,37.97,30,4030,772,1777,718,3.6393,184000,NEAR BAY
-122.2,37.8,41,2070,354,804,340,5.1184,239600,NEAR BAY
-119.83,36.54,31,1732,332,979,294,2.5208,60000,INLAND
-122.18,37.68,5,2087,407,840,401,5.4858,187800,NEAR BAY
-122.1,37.64,28,1784,311,735,278,4.6635,206700,NEAR BAY
-121.94,37.53,33,2095,342,941,304,5.761,259600,<1H OCEAN
-119.71,36.83,15,2727,500,1228,436,3.5078,109000,INLAND
-122.29,37.81,20,835,161,290,133,2.483,137500,NEAR BAY
-122.22,37.78,44,1678,514,1700,495,2.0801,131900,NEAR BAY
-122.09,37.63,36,1570,274,992,249,5.3644,168800,NEAR BAY
-122.13,37.68,43,1676,340,924,328,3.6,179400,NEAR BAY
-122.03,37.54,6,2918,672,1911,639,4.1406,178200,NEAR BAY
-119.98,38.93,28,1194,272,494,203,2.3281,85800,INLAND
-122.35,37.95,45,2142,431,1318,431,3.0737,111600,NEAR BAY
-120.55,38.43,18,1564,357,618,277,2.3549,108900,INLAND
-122.08,37.63,33,691,127,431,149,4.25,192600,NEAR BAY
-119.76,36.81,19,4643,1429,4638,1335,1.2716,69400,INLAND
-122.27,37.87,35,3218,1108,1675,1000,1.7464,216700,NEAR BAY
-122.1,37.72,30,2599,366,922,350,5.8382,330200,NEAR BAY
-122.32,37.97,33,1595,292,991,300,4.6937,134100,NEAR BAY
-122.01,37.59,2,838,295,240,149,2.875,237500,NEAR BAY
-122.18,37.79,39,617,95,236,106,5.2578,253000,NEAR BAY
-121.91,37.81,7,3477,416,1216,395,13.1499,500001,INLAND
-121.94,37.54,27,3715,526,1631,538,6.2179,305300,<1H OCEAN
-120.97,38.91,7,4341,716,1978,682,4.8311,172200,INLAND
-121.86,37.7,13,9621,1344,4389,1391,6.6827,313700,INLAND
-122.29,37.82,2,158,43,94,57,2.5625,60000,NEAR BAY
-121.87,37.57,13,5519,833,2444,825,7.0691,393200,<1H OCEAN
-119.77,36.75,44,1818,412,1680,418,1.7083,48300,INLAND
-121.78,37.66,25,1947,418,900,354,3.8523,193000,INLAND
-119.77,36.74,20,1855,519,1091,443,1.5547,93900,INLAND
-119.78,36.75,31,1404,379,1515,387,1.2813,56400,INLAND
-121.96,37.95,7,3418,740,1583,676,3.6133,196100,INLAND
-120.44,38.61,9,2598,548,796,297,3.5192,98000,INLAND
-122.16,37.73,52,1114,206,425,207,2.5625,175000,NEAR BAY
-122.12,37.7,41,3495,787,1849,750,2.679,144900,NEAR BAY
-119.69,36.46,29,1702,301,914,280,2.8125,79200,INLAND
-122.23,37.8,52,1252,299,844,280,2.3929,111900,NEAR BAY
-120.87,38.83,12,2180,423,1070,377,2.8562,128200,INLAND
-122.34,37.94,47,2313,433,947,430,3.942,143300,NEAR BAY
-122.17,37.73,46,2163,470,925,435,3.25,177500,NEAR BAY
-122.26,37.84,52,950,202,467,198,3.9643,188800,NEAR BAY
-122.09,37.66,40,1340,313,766,271,3.4722,135400,NEAR BAY
-119.71,36.79,34,1891,323,966,355,3.6681,82000,INLAND
-119.85,36.77,9,1142,314,620,283,2.0446,81300,INLAND
-121.97,37.95,8,4253,709,1883,662,5.431,246700,INLAND
-121.85,38.0,26,3364,570,1806,566,4.2647,133400,INLAND
-119.68,36.81,13,2589,413,1356,435,5.0253,106200,INLAND
-122.19,37.77,45,1852,393,1132,349,2.7159,101400,NEAR BAY
-122.05,37.94,22,2105,354,993,365,4.6602,227800,NEAR BAY
-121.93,37.93,16,2876,391,1089,377,6.299,286900,INLAND
-122.26,37.85,52,2202,434,910,402,3.2031,281500,NEAR BAY
-121.6,37.91,13,2479,394,1075,350,5.1017,241400,INLAND
-119.77,36.76,43,1945,413,1492,422,1.5174,54600,INLAND
-122.15,37.76,39,1823,286,763,270,6.0749,196900,NEAR BAY
-122.08,37.62,27,1826,309,1016,313,5.64,206500,NEAR BAY
-122.3,37.87,52,3123,749,1695,684,2.2208,144800,NEAR BAY
-122.14,37.73,38,1723,394,711,353,3.0673,218400,NEAR BAY
-122.2,37.83,26,1589,223,542,211,8.401,351200,NEAR BAY
-119.31,36.62,25,831,230,947,244,1.4481,51700,INLAND
-122.23,37.76,52,1705,246,658,253,5.75,306300,NEAR BAY
-119.95,38.95,22,1058,352,851,269,2.02,87500,INLAND
-119.76,36.73,46,1347,282,854,267,1.8723,52600,INLAND
-121.92,37.74,8,452,51,140,43,12.5915,432400,<1H OCEAN
-122.17,37.74,46,769,183,693,178,2.25,84200,NEAR BAY
-122.19,37.71,36,361,69,158,58,5.5461,262500,NEAR BAY
-122.3,37.86,50,499,127,287,128,2.75,140600,NEAR BAY
-120.0,38.92,26,529,116,191,83,3.5,103600,INLAND
-119.99,36.8,45,1270,242,598,214,3.2813,105400,INLAND
-119.78,36.8,34,3426,623,1938,647,2.8994,66000,INLAND
-119.79,36.82,23,4358,819,1852,802,3.4167,105200,INLAND
-120.67,37.97,9,7450,1475,2233,930,2.6528,133000,INLAND
-122.27,37.87,49,1350,368,707,350,2.8846,211300,NEAR BAY
-121.66,39.66,17,3502,655,1763,613,2.9625,101200,INLAND
-119.72,36.75,11,4832,993,2190,888,2.6611,74700,INLAND
-121.63,39.76,22,2598,482,1151,490,2.8182,109700,INLAND
-119.69,36.83,8,943,189,475,155,4.9327,89500,INLAND
-122.21,37.79,35,1745,409,1143,386,2.875,143800,NEAR BAY
-122.29,37.91,38,2591,424,905,378,5.1691,263200,NEAR BAY
-124.16,41.92,19,1668,324,841,283,2.1336,75000,NEAR OCEAN
-119.75,36.75,49,2331,460,1290,477,2.5111,55400,INLAND
-122.15,37.74,49,1494,316,611,288,2.2,187500,NEAR BAY
-122.06,37.6,18,1726,276,1186,310,5.3226,231700,NEAR BAY
-122.09,37.67,39,2069,500,1408,478,3.1115,153500,NEAR BAY
-122.19,37.75,28,856,189,435,162,0.8012,81800,NEAR BAY
-122.34,37.97,19,2237,580,1438,551,2.3382,120700,NEAR BAY
-121.71,39.42,21,1432,284,862,275,2.2813,57600,INLAND
-122.07,37.92,26,3872,739,1629,684,4.4312,225000,NEAR BAY
-122.26,37.83,52,1665,419,946,395,2.0978,155400,NEAR BAY
-122.19,37.74,36,847,212,567,159,1.1765,87100,NEAR BAY
-119.86,36.43,34,1175,251,683,261,1.7176,58400,INLAND
-120.37,36.16,36,613,124,310,124,3.0658,65000,INLAND
-121.9,38.02,12,1497,360,943,341,2.1417,122200,INLAND
-119.52,36.71,21,1834,321,1120,314,2.59,69300,INLAND
-122.34,37.94,31,1611,455,786,411,1.681,145500,NEAR BAY
-121.91,37.68,18,3631,547,1700,520,5.817,257300,<1H OCEAN
-122.24,37.81,52,2093,550,918,483,2.7477,243800,NEAR BAY
-121.88,38.02,46,2112,466,1249,382,2.5737,87000,INLAND
-119.76,36.68,29,1243,312,836,277,1.8355,74200,INLAND
-119.82,36.77,41,1441,274,646,296,3.0568,71300,INLAND
-122.06,37.88,34,4781,703,1879,714,6.5378,340900,NEAR BAY
-120.25,36.65,31,1177,221,744,223,2.4937,66000,INLAND
-121.99,37.58,31,2878,478,1276,485,6.2073,282500,<1H OCEAN
-121.8,38.01,37,3058,567,1351,523,3.5179,130800,INLAND
-121.85,37.66,14,4236,701,1833,663,5.6399,300600,INLAND
-119.8,36.75,46,2625,593,1368,551,1.5273,59000,INLAND
-121.91,37.93,13,1610,198,703,217,8.7059,329400,INLAND
-121.55,39.48,41,461,107,284,90,2.2045,41800,INLAND
-122.24,37.85,52,3726,474,1366,496,9.3959,500001,NEAR BAY
-120.25,38.55,15,4403,891,1103,433,3.0125,111700,INLAND
-122.09,37.7,33,4413,1107,2239,1051,2.9861,208200,NEAR BAY
-121.94,37.73,22,1980,291,861,290,6.2726,258200,<1H OCEAN
-121.98,37.54,17,5133,1375,3386,1339,3.1326,220800,<1H OCEAN
-119.83,36.78,35,1789,357,933,357,2.5223,66200,INLAND
-122.12,38.01,42,2225,367,864,381,4.1189,172400,NEAR BAY
-121.44,39.5,26,1652,325,790,292,3.0446,90800,INLAND
-119.55,36.6,18,2379,448,1638,436,2.309,57100,INLAND
-119.81,36.83,10,5780,922,2712,883,5.6445,135500,INLAND
-119.99,38.88,17,2807,529,675,251,2.7457,107800,INLAND
-122.3,37.81,48,1455,354,788,332,0.8056,84400,NEAR BAY
-121.91,37.69,18,2876,423,1395,427,6.3132,259200,<1H OCEAN
-122.12,37.64,40,432,102,264,77,3.8875,228100,NEAR BAY
-122.05,37.95,20,563,107,246,123,5.4482,190800,NEAR BAY
-120.98,38.68,5,4810,909,2242,900,3.2964,176900,INLAND
-121.93,37.7,3,2456,582,793,456,4.4087,225600,<1H OCEAN
-120.07,36.74,19,2627,502,1295,441,3.087,88200,INLAND
-122.26,37.83,52,1656,420,718,382,2.6768,182300,NEAR BAY
-122.17,37.76,33,1280,307,999,286,2.5625,89300,NEAR BAY
-119.78,36.86,8,3468,675,1604,626,4.2071,128300,INLAND
-122.29,37.81,49,844,204,560,152,1.75,75000,NEAR BAY
-122.03,37.56,24,8444,1492,4446,1491,4.6978,240300,NEAR BAY
-122.33,37.95,46,1543,339,777,322,4.0927,142600,NEAR BAY
-122.23,37.78,44,2340,825,2813,751,1.6009,118100,NEAR BAY
-122.05,37.87,30,2296,329,847,322,6.7192,397500,NEAR BAY
-122.23,37.79,48,1696,396,1481,343,2.0375,122500,NEAR BAY
-122.27,37.77,23,5679,1270,2690,1151,4.7695,291700,NEAR BAY
-119.77,36.85,8,1519,234,711,248,5.9897,123600,INLAND
-122.15,37.74,43,1383,275,853,272,3.5083,122000,NEAR BAY
-119.7,36.82,25,2379,540,1482,484,2.3173,68200,INLAND
-119.52,36.61,33,1225,275,1065,248,1.8958,55100,INLAND
-120.41,36.77,24,1335,312,1180,267,1.947,68900,INLAND
-121.59,39.82,12,1958,369,875,354,2.3507,97600,INLAND
-122.12,37.68,37,2412,394,975,375,4.0417,191100,NEAR BAY
-119.8,36.72,19,1334,336,1171,319,1.0481,48500,INLAND
-121.99,37.92,14,1780,224,764,226,9.0243,427700,INLAND
-119.43,36.63,25,1784,312,904,303,3.625,107600,INLAND
-122.3,37.77,42,2038,368,2037,355,2.6447,200000,NEAR BAY
-121.85,39.74,41,2901,689,1426,632,1.5633,84500,INLAND
-122.12,37.81,26,4048,513,1486,498,7.6717,416500,NEAR BAY
-121.81,38.0,37,2724,579,1400,540,2.905,97300,INLAND
-120.04,36.74,14,3182,730,2298,721,1.6168,71800,INLAND
-122.1,37.61,35,2361,458,1727,467,4.5281,173600,NEAR BAY
-121.85,38.0,24,2269,584,1239,542,2.0411,100000,INLAND
-121.58,39.5,29,1947,383,925,337,2.1658,57600,INLAND
-122.03,37.94,21,5541,776,2214,737,5.5777,279300,NEAR BAY
-122.24,37.8,47,2046,588,1213,554,2.6292,182700,NEAR BAY
-123.91,41.68,22,1880,360,743,314,2.9688,152700,<1H OCEAN
-122.17,37.78,52,653,128,296,121,4.175,144000,NEAR BAY
-122.25,38.03,15,3338,532,1834,520,5.6293,197600,NEAR BAY
-122.25,37.83,52,4190,1105,1786,1037,3.0897,234100,NEAR BAY
-121.88,38.0,16,2605,440,1352,408,4.1947,140300,INLAND
-122.29,37.92,36,1450,235,568,234,6.0,311400,NEAR BAY
-119.68,36.63,39,1237,256,638,239,3.0139,65300,INLAND
-122.19,37.79,50,968,195,462,184,2.9844,179900,NEAR BAY
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,NEAR BAY
-122.35,37.94,45,2112,493,1406,452,2.3456,105200,NEAR BAY
-119.44,36.6,34,864,184,579,171,2.0417,72500,INLAND
-119.21,37.25,44,3042,697,335,115,4.1838,85600,INLAND
-119.24,36.8,17,2052,405,975,340,2.6902,94400,INLAND
-122.24,37.8,52,1586,398,1006,335,2.1348,140600,NEAR BAY
-122.07,37.65,31,3300,790,2181,740,3.016,161800,NEAR BAY
-122.3,37.97,35,1811,377,911,340,3.375,149700,NEAR BAY
-122.08,37.64,36,1340,245,789,248,3.8,172000,NEAR BAY
-119.85,36.77,27,1510,344,847,295,2.9315,83200,INLAND
-122.27,37.87,52,3084,698,1424,694,2.7372,210200,NEAR BAY
-119.75,36.87,3,13802,2244,5226,1972,5.0941,143700,INLAND
-119.7,36.81,32,2623,528,1570,492,2.7159,68000,INLAND
-122.26,37.88,52,2363,604,1558,573,2.944,338900,NEAR BAY
-120.45,36.85,20,1519,376,1681,370,2.1759,58100,INLAND
-122.06,37.7,33,3906,790,1912,770,3.5187,209400,NEAR BAY
-122.32,37.99,24,4865,968,2315,893,4.2852,173500,NEAR BAY
-121.79,38.0,36,1141,234,562,213,2.5893,108500,INLAND
-121.56,39.69,8,2836,522,1163,512,3.13,168300,INLAND
-122.18,37.76,43,2018,408,1111,367,1.8913,91200,NEAR BAY
-122.26,38.0,14,2338,391,1003,398,4.2269,170500,NEAR BAY
-122.34,37.94,44,1917,444,936,435,2.7391,140300,NEAR BAY
-122.27,37.89,52,1978,293,723,272,5.3989,335600,NEAR BAY
-119.54,36.51,36,49,7,28,2,4.625,162500,INLAND
-122.19,37.76,38,1493,370,1144,351,0.7683,81800,NEAR BAY
-122.16,37.69,36,1118,219,625,228,3.7813,192200,NEAR BAY
-121.65,38.03,28,3144,694,1095,482,3.4402,192400,INLAND
-124.3,41.84,17,2677,531,1244,456,3.0313,103600,NEAR OCEAN
-122.0,37.98,32,1013,169,436,173,5.1118,226900,INLAND
-121.9,38.03,51,2982,689,1831,608,2.0034,87700,INLAND
-121.99,37.81,17,465,83,146,75,4.9018,188500,<1H OCEAN
-121.84,37.66,13,13182,2074,4847,1950,5.6417,352900,INLAND
-122.08,37.64,23,1897,440,1109,418,3.142,179500,NEAR BAY
-119.81,36.78,52,2281,371,839,367,3.5972,89900,INLAND
-122.23,37.8,52,783,184,488,186,1.9375,126600,NEAR BAY
-122.36,37.94,41,2591,585,1638,462,1.822,79700,NEAR BAY
-122.28,37.89,52,1225,169,412,168,5.7912,327100,NEAR BAY
-119.76,36.8,29,3494,662,1781,616,2.5893,70900,INLAND
-122.29,37.89,52,3171,698,1498,696,3.1795,218200,NEAR BAY
-121.52,39.5,33,1462,241,569,231,3.2833,82600,INLAND
-122.17,37.76,41,1594,367,1074,355,1.9356,90600,NEAR BAY
-119.78,36.78,37,2185,455,1143,438,1.9784,70700,INLAND
-121.8,39.75,11,7212,1355,3264,1264,3.1125,122600,INLAND
-122.11,37.87,33,3398,500,1351,457,6.5814,314200,NEAR BAY
-122.23,37.76,52,3011,542,1303,535,5.1039,273800,NEAR BAY
-122.08,39.25,52,224,38,120,45,3.017,112500,INLAND
-122.27,37.81,10,875,348,546,330,0.76,162500,NEAR BAY
-121.97,37.79,17,5688,824,2111,773,6.6131,312500,<1H OCEAN
-124.22,41.73,28,3003,699,1530,653,1.7038,78300,NEAR OCEAN
-119.81,36.6,24,2246,462,1291,394,2.4006,76400,INLAND
-120.55,36.97,42,1766,344,1084,323,2.3295,74400,INLAND
-121.47,39.49,17,1554,242,553,230,3.2174,91800,INLAND
-122.08,37.63,37,1793,364,1534,346,3.6458,156600,NEAR BAY
-121.96,37.54,14,5106,1207,2738,1108,3.9909,236000,<1H OCEAN
-119.71,36.74,18,8099,1670,4476,1514,2.4728,88300,INLAND
-119.64,36.56,34,576,117,363,97,2.0658,92500,INLAND
-119.8,36.83,17,1560,261,709,258,4.3315,95800,INLAND
-122.28,38.0,26,2335,413,980,417,3.4471,178900,NEAR BAY
-122.26,37.81,34,5871,1914,2689,1789,2.8406,335700,NEAR BAY
-121.62,39.76,14,2063,559,934,529,1.7788,85800,INLAND
-120.72,38.24,32,2685,543,1061,492,2.5473,101600,INLAND
-122.02,37.58,15,3052,760,2097,728,3.3617,178100,NEAR BAY
-120.87,38.71,13,2692,470,1302,420,4.0,167400,INLAND
-120.79,38.54,34,1133,254,495,187,2.05,68900,INLAND
-122.06,37.63,12,6711,1374,3388,1289,3.8625,208900,NEAR BAY
-121.89,37.67,19,2034,288,852,295,6.5285,300400,INLAND
-119.81,36.77,48,1805,329,741,331,2.5804,78900,INLAND
-119.53,36.55,34,2065,343,1041,313,3.2917,111500,INLAND
-122.14,37.7,17,1463,292,695,330,4.5859,187200,NEAR BAY
-121.59,39.77,24,1535,276,664,273,2.3068,97300,INLAND
-122.17,37.76,47,2118,413,965,382,2.1842,107900,NEAR BAY
-122.34,37.96,15,6487,1717,3408,1560,2.1991,133300,NEAR BAY
-121.55,39.44,31,1434,283,811,289,1.7727,49000,INLAND
-122.26,37.9,52,1927,279,705,288,7.8864,357300,NEAR BAY
-122.0,37.54,29,4133,744,2023,749,5.1616,275100,<1H OCEAN
-122.08,37.69,43,1575,324,740,284,2.8512,181000,NEAR BAY
-121.58,39.76,18,1676,332,733,318,1.7875,103800,INLAND
-122.08,37.95,33,1043,157,425,148,4.8702,235600,NEAR BAY
-122.08,37.9,29,4133,770,1691,744,5.1097,288000,NEAR BAY
-122.2,37.96,9,6306,962,2581,911,6.7741,310700,NEAR BAY
-122.13,37.75,36,768,93,229,93,5.3602,330000,NEAR BAY
-122.04,37.55,23,3170,532,1446,515,4.4357,291700,NEAR BAY
-122.2,37.79,29,1640,376,939,340,2.8321,150000,NEAR BAY
-122.2,37.88,36,1065,160,398,155,7.7736,378100,NEAR BAY
-120.21,36.77,20,1745,348,1093,302,2.3194,90600,INLAND
-122.04,37.96,28,1207,252,724,252,3.6964,165700,NEAR BAY
-119.25,36.71,13,2813,579,1385,512,2.2202,100000,INLAND
-122.06,37.99,16,2445,469,721,474,2.8043,87500,NEAR BAY
-122.12,37.75,33,1809,261,808,219,6.86,250000,NEAR BAY
-119.94,38.95,25,1789,536,1134,396,2.32,91300,INLAND
-122.29,37.91,40,2085,329,796,339,5.5357,273700,NEAR BAY
-122.29,37.87,44,2539,755,1382,713,2.537,175000,NEAR BAY
-122.25,37.77,43,4329,1110,2086,1053,2.975,243400,NEAR BAY
-119.89,36.7,32,1485,269,867,271,2.5809,78300,INLAND
-122.08,37.87,26,2405,564,680,531,2.4896,73400,NEAR BAY
-119.83,36.8,16,6101,1200,3407,1134,3.125,80800,INLAND
-122.13,37.89,27,744,214,295,169,2.7411,350000,NEAR BAY
-119.82,36.78,36,1582,313,761,318,2.6055,69200,INLAND
-122.14,37.71,27,3094,866,1364,789,2.6101,181700,NEAR BAY
-121.91,37.71,25,4377,668,2038,671,5.7233,231800,<1H OCEAN
-122.36,37.93,42,1796,389,1107,372,1.9375,87000,NEAR BAY
-119.8,36.8,43,1951,288,725,308,6.3359,169300,INLAND
-122.32,37.94,38,2751,522,1390,489,3.7277,165100,NEAR BAY
-122.03,37.55,22,9167,1373,4319,1404,6.992,284800,NEAR BAY
-121.68,39.82,15,3996,748,1786,728,3.5189,141300,INLAND
-122.3,37.9,41,2053,435,873,415,3.4091,223000,NEAR BAY
-121.77,37.68,41,1501,299,629,288,4.6806,209400,INLAND
-122.26,37.88,52,2255,410,823,377,5.7979,415300,NEAR BAY
-119.79,36.76,52,1185,260,635,239,1.175,56100,INLAND
-122.03,37.61,37,1383,259,808,241,4.0125,161400,NEAR BAY
-122.01,37.98,25,1476,336,777,297,3.5179,165500,NEAR BAY
-122.34,37.94,42,2206,451,989,444,3.125,143900,NEAR BAY
-119.79,36.55,32,1393,276,999,245,2.0216,76800,INLAND
-121.98,37.81,18,2903,387,1127,372,5.5921,359100,<1H OCEAN
-119.67,36.57,32,1604,292,868,276,2.1908,110000,INLAND
-120.84,38.77,11,1013,188,410,158,4.825,184600,INLAND
-121.87,37.67,10,4337,800,1813,743,5.5,247200,INLAND
-121.96,37.96,28,1838,273,899,270,5.2145,229200,INLAND
-122.28,37.8,52,215,87,904,88,0.8668,137500,NEAR BAY
-120.59,38.76,21,1728,417,731,334,1.7266,94700,INLAND
-119.68,36.62,31,834,229,616,211,1.6602,61200,INLAND
-122.17,37.75,47,998,211,597,185,3.1587,100400,NEAR BAY
-121.54,39.5,38,1438,310,779,275,1.3289,39400,INLAND
-121.94,37.83,11,2836,373,959,335,10.5815,500001,INLAND
-119.95,38.95,8,430,107,36,18,2.625,187500,INLAND
-121.75,39.88,16,2867,559,1203,449,2.7143,95300,INLAND
-122.13,37.69,17,2380,769,1216,643,3.395,271300,NEAR BAY
-120.36,36.13,29,1938,434,1306,415,3.0134,55500,INLAND
-122.28,37.9,52,2261,328,819,335,4.9083,346800,NEAR BAY
-122.17,37.72,43,3783,814,2139,789,4.0202,166300,NEAR BAY
-119.79,36.79,19,1524,448,960,386,1.5122,47500,INLAND
-122.24,37.8,52,1803,420,1321,401,2.957,122800,NEAR BAY
-120.72,38.94,10,1604,352,540,190,3.7625,113200,INLAND
-122.02,37.96,25,2615,368,935,366,6.6727,305100,NEAR BAY
-122.24,37.79,43,1626,376,1284,357,2.2542,112200,NEAR BAY
-122.27,37.83,51,2665,574,1258,536,2.7303,109700,NEAR BAY
-122.27,38.04,47,1685,405,835,372,2.3103,134500,NEAR BAY
-119.73,36.8,15,2376,538,1197,510,3.1417,74600,INLAND
-119.81,36.77,49,1749,314,705,300,3.15,72200,INLAND
-122.18,37.8,23,2317,336,955,328,6.7527,285800,NEAR BAY
-119.72,36.81,28,1651,305,780,309,2.9453,72200,INLAND
-122.24,37.85,52,2612,365,901,367,7.2354,391100,NEAR BAY
-122.28,37.81,17,924,289,609,289,1.5,162500,NEAR BAY
-122.29,37.85,52,477,119,218,106,2.5682,120000,NEAR BAY
-119.61,36.58,29,1312,280,788,271,2.6974,73000,INLAND
-122.18,37.73,42,4074,874,2736,780,2.455,82400,NEAR BAY
-120.63,38.75,17,3145,621,1432,559,2.7201,117500,INLAND
-120.55,38.31,18,1411,312,592,230,1.625,94700,INLAND
-121.98,37.53,28,2829,566,1610,540,4.6,223200,<1H OCEAN
-122.37,37.93,45,3150,756,1798,749,1.75,37900,NEAR BAY
-119.76,36.8,20,6257,1346,2795,1267,2.2094,83700,INLAND
-120.62,38.39,15,3750,691,1444,603,2.7399,134800,INLAND
-122.36,37.93,17,1258,254,885,229,3.05,121600,NEAR BAY
-122.31,38.01,18,4123,874,1895,772,3.2759,195000,NEAR BAY
-122.25,37.77,52,2156,458,872,445,3.2685,254200,NEAR BAY
-122.3,37.84,14,7355,2408,3100,2051,4.0018,143800,NEAR BAY
-119.98,38.92,27,2682,606,1010,399,3.15,86900,INLAND
-119.86,36.78,7,2232,490,1274,499,2.9853,74700,INLAND
-122.08,37.65,17,5018,1439,3069,1299,2.7694,161900,NEAR BAY
-121.76,37.68,35,1864,357,1189,349,4.2361,177500,INLAND
-122.08,37.6,10,3046,678,2056,628,3.9022,191700,NEAR BAY
-122.08,37.72,31,3866,531,1368,521,6.187,340400,NEAR BAY
-119.82,36.77,36,2252,468,1117,442,2.9081,65600,INLAND
-120.81,38.73,42,1276,260,799,259,2.7273,128600,INLAND
-122.2,37.79,35,1802,459,1009,390,2.3036,126000,NEAR BAY
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-119.73,36.59,31,1551,296,1058,287,3.3438,92600,INLAND
-121.9,38.0,14,2677,368,1288,375,6.0497,177500,INLAND
-122.11,37.69,42,1472,310,768,309,3.4643,160900,NEAR BAY
-121.82,38.01,50,1120,281,625,239,1.5988,96400,INLAND
-122.3,37.91,40,2866,617,1305,589,3.6321,209100,NEAR BAY
-119.83,36.76,15,3291,772,1738,634,1.976,67300,INLAND
-122.07,37.96,37,1217,199,552,194,5.0445,196200,NEAR BAY
-119.81,36.81,33,3972,594,1324,561,5.4513,143300,INLAND
-121.92,37.96,14,5332,884,2093,839,5.2798,237400,INLAND
-120.1,36.21,12,1462,356,1708,367,1.5086,64700,INLAND
-120.84,38.81,11,1280,286,609,248,3.1635,132600,INLAND
-119.73,36.56,32,1513,272,1038,272,3.0469,82700,INLAND
-120.79,38.83,15,1374,291,709,239,1.7222,118500,INLAND
-121.94,38.02,29,5765,1170,3266,1131,2.7907,113900,INLAND
-119.8,36.75,41,1659,466,1391,447,1.3527,61200,INLAND
-119.77,36.77,38,3065,658,1441,625,2.0564,64700,INLAND
-119.85,36.75,24,1143,245,608,240,2.8194,81100,INLAND
-122.04,37.53,25,4458,922,2998,890,3.9667,218500,NEAR BAY
-121.87,39.82,11,5103,825,2456,810,4.5032,159700,INLAND
